# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:23:47 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03070500 BIG SANDY CREEK AT ROCKVILLE, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03070500
#            TS   parameter     Description
#        160543       00060     Discharge, cubic feet per second
#        160544       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160543_00060	160543_00060_cd
USGS	03070500	2019-06-27 18:00	EDT	223	A
USGS	03070500	2019-06-27 18:15	EDT	223	A
USGS	03070500	2019-06-27 18:30	EDT	221	A
USGS	03070500	2019-06-27 18:45	EDT	221	A
USGS	03070500	2019-06-27 19:00	EDT	221	A
USGS	03070500	2019-06-27 19:15	EDT	218	A
USGS	03070500	2019-06-27 19:30	EDT	218	A
USGS	03070500	2019-06-27 19:45	EDT	216	A
USGS	03070500	2019-06-27 20:00	EDT	216	A
USGS	03070500	2019-06-27 20:15	EDT	216	A
USGS	03070500	2019-06-27 20:30	EDT	216	A
USGS	03070500	2019-06-27 20:45	EDT	213	A
USGS	03070500	2019-06-27 21:00	EDT	213	A
USGS	03070500	2019-06-27 21:15	EDT	213	A
USGS	03070500	2019-06-27 21:30	EDT	213	A
USGS	03070500	2019-06-27 21:45	EDT	216	A
USGS	03070500	2019-06-27 22:00	EDT	213	A
USGS	03070500	2019-06-27 22:15	EDT	213	A
USGS	03070500	2019-06-27 22:30	EDT	211	A
USGS	03070500	2019-06-27 22:45	EDT	211	A
USGS	03070500	2019-06-27 23:00	EDT	211	A
USGS	03070500	2019-06-27 23:15	EDT	211	A
USGS	03070500	2019-06-27 23:30	EDT	208	A
USGS	03070500	2019-06-27 23:45	EDT	208	A
USGS	03070500	2019-06-28 00:00	EDT	206	A
USGS	03070500	2019-06-28 00:15	EDT	206	A
USGS	03070500	2019-06-28 00:30	EDT	206	A
USGS	03070500	2019-06-28 00:45	EDT	204	A
USGS	03070500	2019-06-28 01:00	EDT	204	A
USGS	03070500	2019-06-28 01:15	EDT	204	A
USGS	03070500	2019-06-28 01:30	EDT	201	A
USGS	03070500	2019-06-28 01:45	EDT	201	A
USGS	03070500	2019-06-28 02:00	EDT	199	A
USGS	03070500	2019-06-28 02:15	EDT	199	A
USGS	03070500	2019-06-28 02:30	EDT	199	A
USGS	03070500	2019-06-28 02:45	EDT	199	A
USGS	03070500	2019-06-28 03:00	EDT	199	A
USGS	03070500	2019-06-28 03:15	EDT	199	A
USGS	03070500	2019-06-28 03:30	EDT	197	A
USGS	03070500	2019-06-28 03:45	EDT	197	A
USGS	03070500	2019-06-28 04:00	EDT	197	A
USGS	03070500	2019-06-28 04:15	EDT	197	A
USGS	03070500	2019-06-28 04:30	EDT	194	A
USGS	03070500	2019-06-28 04:45	EDT	194	A
USGS	03070500	2019-06-28 05:00	EDT	194	A
USGS	03070500	2019-06-28 05:15	EDT	194	A
USGS	03070500	2019-06-28 05:30	EDT	194	A
USGS	03070500	2019-06-28 05:45	EDT	194	A
USGS	03070500	2019-06-28 06:00	EDT	194	A
USGS	03070500	2019-06-28 06:15	EDT	192	A
USGS	03070500	2019-06-28 06:30	EDT	192	A
USGS	03070500	2019-06-28 06:45	EDT	192	A
USGS	03070500	2019-06-28 07:00	EDT	190	A
USGS	03070500	2019-06-28 07:15	EDT	190	A
USGS	03070500	2019-06-28 07:30	EDT	190	A
USGS	03070500	2019-06-28 07:45	EDT	190	A
USGS	03070500	2019-06-28 08:00	EDT	190	A
USGS	03070500	2019-06-28 08:15	EDT	192	A
USGS	03070500	2019-06-28 08:30	EDT	190	A
USGS	03070500	2019-06-28 08:45	EDT	194	A
USGS	03070500	2019-06-28 09:00	EDT	199	A
USGS	03070500	2019-06-28 09:15	EDT	201	A
USGS	03070500	2019-06-28 09:30	EDT	208	A
USGS	03070500	2019-06-28 09:45	EDT	208	A
USGS	03070500	2019-06-28 10:00	EDT	211	A
USGS	03070500	2019-06-28 10:15	EDT	211	A
USGS	03070500	2019-06-28 10:30	EDT	211	A
USGS	03070500	2019-06-28 10:45	EDT	208	A
USGS	03070500	2019-06-28 11:00	EDT	211	A
USGS	03070500	2019-06-28 11:15	EDT	208	A
USGS	03070500	2019-06-28 11:30	EDT	206	A
USGS	03070500	2019-06-28 11:45	EDT	204	A
USGS	03070500	2019-06-28 12:00	EDT	206	A
USGS	03070500	2019-06-28 12:15	EDT	206	A
USGS	03070500	2019-06-28 12:30	EDT	206	A
USGS	03070500	2019-06-28 12:45	EDT	201	A
USGS	03070500	2019-06-28 13:00	EDT	201	A
USGS	03070500	2019-06-28 13:15	EDT	199	A
USGS	03070500	2019-06-28 13:30	EDT	199	A
USGS	03070500	2019-06-28 13:45	EDT	199	A
USGS	03070500	2019-06-28 14:00	EDT	197	A
USGS	03070500	2019-06-28 14:15	EDT	194	A
USGS	03070500	2019-06-28 14:30	EDT	194	A
USGS	03070500	2019-06-28 14:45	EDT	194	A
USGS	03070500	2019-06-28 15:00	EDT	192	A
USGS	03070500	2019-06-28 15:15	EDT	192	A
USGS	03070500	2019-06-28 15:30	EDT	190	A
USGS	03070500	2019-06-28 15:45	EDT	190	A
USGS	03070500	2019-06-28 16:00	EDT	190	A
USGS	03070500	2019-06-28 16:15	EDT	190	A
USGS	03070500	2019-06-28 16:30	EDT	190	A
USGS	03070500	2019-06-28 16:45	EDT	190	A
USGS	03070500	2019-06-28 17:00	EDT	187	A
USGS	03070500	2019-06-28 17:15	EDT	187	A
USGS	03070500	2019-06-28 17:30	EDT	187	A
USGS	03070500	2019-06-28 17:45	EDT	187	A
USGS	03070500	2019-06-28 18:00	EDT	187	A
USGS	03070500	2019-06-28 18:15	EDT	187	A
USGS	03070500	2019-06-28 18:30	EDT	190	A
USGS	03070500	2019-06-28 18:45	EDT	187	A
USGS	03070500	2019-06-28 19:00	EDT	185	A
USGS	03070500	2019-06-28 19:15	EDT	185	A
USGS	03070500	2019-06-28 19:30	EDT	183	A
USGS	03070500	2019-06-28 19:45	EDT	183	A
USGS	03070500	2019-06-28 20:00	EDT	183	A
USGS	03070500	2019-06-28 20:15	EDT	183	A
USGS	03070500	2019-06-28 20:30	EDT	183	A
USGS	03070500	2019-06-28 20:45	EDT	181	A
USGS	03070500	2019-06-28 21:00	EDT	179	A
USGS	03070500	2019-06-28 21:15	EDT	179	A
USGS	03070500	2019-06-28 21:30	EDT	179	A
USGS	03070500	2019-06-28 21:45	EDT	179	A
USGS	03070500	2019-06-28 22:00	EDT	179	A
USGS	03070500	2019-06-28 22:15	EDT	176	A
USGS	03070500	2019-06-28 22:30	EDT	176	A
USGS	03070500	2019-06-28 22:45	EDT	176	A
USGS	03070500	2019-06-28 23:00	EDT	176	A
USGS	03070500	2019-06-28 23:15	EDT	174	A
USGS	03070500	2019-06-28 23:30	EDT	174	A
USGS	03070500	2019-06-28 23:45	EDT	174	A
USGS	03070500	2019-06-29 00:00	EDT	174	A
USGS	03070500	2019-06-29 00:15	EDT	172	A
USGS	03070500	2019-06-29 00:30	EDT	172	A
USGS	03070500	2019-06-29 00:45	EDT	172	A
USGS	03070500	2019-06-29 01:00	EDT	170	A
USGS	03070500	2019-06-29 01:15	EDT	170	A
USGS	03070500	2019-06-29 01:30	EDT	168	A
USGS	03070500	2019-06-29 01:45	EDT	168	A
USGS	03070500	2019-06-29 02:00	EDT	168	A
USGS	03070500	2019-06-29 02:15	EDT	168	A
USGS	03070500	2019-06-29 02:30	EDT	166	A
USGS	03070500	2019-06-29 02:45	EDT	166	A
USGS	03070500	2019-06-29 03:00	EDT	166	A
USGS	03070500	2019-06-29 03:15	EDT	166	A
USGS	03070500	2019-06-29 03:30	EDT	166	A
USGS	03070500	2019-06-29 03:45	EDT	166	A
USGS	03070500	2019-06-29 04:00	EDT	166	A
USGS	03070500	2019-06-29 04:15	EDT	164	A
USGS	03070500	2019-06-29 04:30	EDT	164	A
USGS	03070500	2019-06-29 04:45	EDT	164	A
USGS	03070500	2019-06-29 05:00	EDT	162	A
USGS	03070500	2019-06-29 05:15	EDT	162	A
USGS	03070500	2019-06-29 05:30	EDT	162	A
USGS	03070500	2019-06-29 06:00	EDT	162	A
USGS	03070500	2019-06-29 06:15	EDT	160	A
USGS	03070500	2019-06-29 06:30	EDT	160	A
USGS	03070500	2019-06-29 06:45	EDT	158	A
USGS	03070500	2019-06-29 07:00	EDT	158	A
USGS	03070500	2019-06-29 07:15	EDT	158	A
USGS	03070500	2019-06-29 07:30	EDT	158	A
USGS	03070500	2019-06-29 07:45	EDT	158	A
USGS	03070500	2019-06-29 08:00	EDT	156	A
USGS	03070500	2019-06-29 08:15	EDT	158	A
USGS	03070500	2019-06-29 08:30	EDT	156	A
USGS	03070500	2019-06-29 08:45	EDT	154	A
USGS	03070500	2019-06-29 09:00	EDT	156	A
USGS	03070500	2019-06-29 09:15	EDT	154	A
USGS	03070500	2019-06-29 09:30	EDT	154	A
USGS	03070500	2019-06-29 09:45	EDT	152	A
USGS	03070500	2019-06-29 10:00	EDT	152	A
USGS	03070500	2019-06-29 10:15	EDT	152	A
USGS	03070500	2019-06-29 10:30	EDT	152	A
USGS	03070500	2019-06-29 10:45	EDT	152	A
USGS	03070500	2019-06-29 11:00	EDT	152	A
USGS	03070500	2019-06-29 11:15	EDT	150	A
USGS	03070500	2019-06-29 11:30	EDT	150	A
USGS	03070500	2019-06-29 11:45	EDT	152	A
USGS	03070500	2019-06-29 12:00	EDT	150	A
USGS	03070500	2019-06-29 12:15	EDT	150	A
USGS	03070500	2019-06-29 12:30	EDT	150	A
USGS	03070500	2019-06-29 12:45	EDT	150	A
USGS	03070500	2019-06-29 13:00	EDT	150	A
USGS	03070500	2019-06-29 13:15	EDT	150	A
USGS	03070500	2019-06-29 13:30	EDT	148	A
USGS	03070500	2019-06-29 13:45	EDT	148	A
USGS	03070500	2019-06-29 14:00	EDT	150	A
USGS	03070500	2019-06-29 14:15	EDT	148	A
USGS	03070500	2019-06-29 14:30	EDT	148	A
USGS	03070500	2019-06-29 14:45	EDT	147	A
USGS	03070500	2019-06-29 15:00	EDT	147	A
USGS	03070500	2019-06-29 15:15	EDT	148	A
USGS	03070500	2019-06-29 15:30	EDT	147	A
USGS	03070500	2019-06-29 15:45	EDT	147	A
USGS	03070500	2019-06-29 16:00	EDT	148	A
USGS	03070500	2019-06-29 16:15	EDT	148	A
USGS	03070500	2019-06-29 16:30	EDT	147	A
USGS	03070500	2019-06-29 16:45	EDT	147	A
USGS	03070500	2019-06-29 17:00	EDT	147	A
USGS	03070500	2019-06-29 17:15	EDT	147	A
USGS	03070500	2019-06-29 17:30	EDT	147	A
USGS	03070500	2019-06-29 17:45	EDT	145	A
USGS	03070500	2019-06-29 18:00	EDT	145	A
USGS	03070500	2019-06-29 18:15	EDT	147	A
USGS	03070500	2019-06-29 18:30	EDT	145	A
USGS	03070500	2019-06-29 18:45	EDT	145	A
USGS	03070500	2019-06-29 19:00	EDT	145	A
USGS	03070500	2019-06-29 19:15	EDT	147	A
USGS	03070500	2019-06-29 19:30	EDT	145	A
USGS	03070500	2019-06-29 19:45	EDT	145	A
USGS	03070500	2019-06-29 20:00	EDT	145	A
USGS	03070500	2019-06-29 20:15	EDT	145	A
USGS	03070500	2019-06-29 20:30	EDT	145	A
USGS	03070500	2019-06-29 20:45	EDT	143	A
USGS	03070500	2019-06-29 21:00	EDT	143	A
USGS	03070500	2019-06-29 21:15	EDT	143	A
USGS	03070500	2019-06-29 21:30	EDT	143	A
USGS	03070500	2019-06-29 21:45	EDT	143	A
USGS	03070500	2019-06-29 22:00	EDT	141	A
USGS	03070500	2019-06-29 22:15	EDT	141	A
USGS	03070500	2019-06-29 22:30	EDT	145	A
USGS	03070500	2019-06-29 22:45	EDT	164	A
USGS	03070500	2019-06-29 23:00	EDT	172	A
USGS	03070500	2019-06-29 23:15	EDT	176	A
USGS	03070500	2019-06-29 23:30	EDT	190	A
USGS	03070500	2019-06-29 23:45	EDT	194	A
USGS	03070500	2019-06-30 00:00	EDT	229	A
USGS	03070500	2019-06-30 00:15	EDT	256	A
USGS	03070500	2019-06-30 00:30	EDT	291	A
USGS	03070500	2019-06-30 00:45	EDT	336	A
USGS	03070500	2019-06-30 01:00	EDT	402	A
USGS	03070500	2019-06-30 01:15	EDT	563	A
USGS	03070500	2019-06-30 01:30	EDT	666	A
USGS	03070500	2019-06-30 01:45	EDT	754	A
USGS	03070500	2019-06-30 02:00	EDT	806	A
USGS	03070500	2019-06-30 02:15	EDT	854	A
USGS	03070500	2019-06-30 02:30	EDT	916	A
USGS	03070500	2019-06-30 02:45	EDT	957	A
USGS	03070500	2019-06-30 03:00	EDT	1060	A
USGS	03070500	2019-06-30 03:15	EDT	1100	A
USGS	03070500	2019-06-30 03:30	EDT	1160	A
USGS	03070500	2019-06-30 03:45	EDT	1210	A
USGS	03070500	2019-06-30 04:00	EDT	1300	A
USGS	03070500	2019-06-30 04:15	EDT	1390	A
USGS	03070500	2019-06-30 04:30	EDT	1450	A
USGS	03070500	2019-06-30 04:45	EDT	1510	A
USGS	03070500	2019-06-30 05:00	EDT	1580	A
USGS	03070500	2019-06-30 05:15	EDT	1640	A
USGS	03070500	2019-06-30 05:30	EDT	1640	A
USGS	03070500	2019-06-30 05:45	EDT	1740	A
USGS	03070500	2019-06-30 06:00	EDT	1720	A
USGS	03070500	2019-06-30 06:15	EDT	1780	A
USGS	03070500	2019-06-30 06:30	EDT	1760	A
USGS	03070500	2019-06-30 06:45	EDT	1810	A
USGS	03070500	2019-06-30 07:00	EDT	1790	A
USGS	03070500	2019-06-30 07:15	EDT	1850	A
USGS	03070500	2019-06-30 07:30	EDT	1850	A
USGS	03070500	2019-06-30 07:45	EDT	1900	A
USGS	03070500	2019-06-30 08:00	EDT	1820	A
USGS	03070500	2019-06-30 08:15	EDT	1850	A
USGS	03070500	2019-06-30 08:30	EDT	1820	A
USGS	03070500	2019-06-30 08:45	EDT	1790	A
USGS	03070500	2019-06-30 09:00	EDT	1770	A
USGS	03070500	2019-06-30 09:15	EDT	1760	A
USGS	03070500	2019-06-30 09:30	EDT	1710	A
USGS	03070500	2019-06-30 09:45	EDT	1730	A
USGS	03070500	2019-06-30 10:00	EDT	1620	A
USGS	03070500	2019-06-30 10:15	EDT	1640	A
USGS	03070500	2019-06-30 10:30	EDT	1630	A
USGS	03070500	2019-06-30 10:45	EDT	1580	A
USGS	03070500	2019-06-30 11:00	EDT	1560	A
USGS	03070500	2019-06-30 11:15	EDT	1550	A
USGS	03070500	2019-06-30 11:30	EDT	1540	A
USGS	03070500	2019-06-30 11:45	EDT	1500	A
USGS	03070500	2019-06-30 12:00	EDT	1490	A
USGS	03070500	2019-06-30 12:15	EDT	1460	A
USGS	03070500	2019-06-30 12:30	EDT	1480	A
USGS	03070500	2019-06-30 12:45	EDT	1440	A
USGS	03070500	2019-06-30 13:00	EDT	1480	A
USGS	03070500	2019-06-30 13:15	EDT	1470	A
USGS	03070500	2019-06-30 13:30	EDT	1470	A
USGS	03070500	2019-06-30 13:45	EDT	1460	A
USGS	03070500	2019-06-30 14:00	EDT	1410	A
USGS	03070500	2019-06-30 14:15	EDT	1410	A
USGS	03070500	2019-06-30 14:30	EDT	1360	A
USGS	03070500	2019-06-30 14:45	EDT	1350	A
USGS	03070500	2019-06-30 15:00	EDT	1310	A
USGS	03070500	2019-06-30 15:15	EDT	1300	A
USGS	03070500	2019-06-30 15:30	EDT	1280	A
USGS	03070500	2019-06-30 15:45	EDT	1230	A
USGS	03070500	2019-06-30 16:00	EDT	1230	A
USGS	03070500	2019-06-30 16:15	EDT	1210	A
USGS	03070500	2019-06-30 16:30	EDT	1170	A
USGS	03070500	2019-06-30 16:45	EDT	1170	A
USGS	03070500	2019-06-30 17:00	EDT	1160	A
USGS	03070500	2019-06-30 17:15	EDT	1110	A
USGS	03070500	2019-06-30 17:30	EDT	1100	A
USGS	03070500	2019-06-30 17:45	EDT	1080	A
USGS	03070500	2019-06-30 18:00	EDT	1050	A
USGS	03070500	2019-06-30 18:15	EDT	1020	A
USGS	03070500	2019-06-30 18:30	EDT	1030	A
USGS	03070500	2019-06-30 18:45	EDT	993	A
USGS	03070500	2019-06-30 19:00	EDT	1020	A
USGS	03070500	2019-06-30 19:15	EDT	969	A
USGS	03070500	2019-06-30 19:30	EDT	963	A
USGS	03070500	2019-06-30 19:45	EDT	975	A
USGS	03070500	2019-06-30 20:00	EDT	916	A
USGS	03070500	2019-06-30 20:15	EDT	951	A
USGS	03070500	2019-06-30 20:30	EDT	916	A
USGS	03070500	2019-06-30 20:45	EDT	871	A
USGS	03070500	2019-06-30 21:00	EDT	893	A
USGS	03070500	2019-06-30 21:15	EDT	882	A
USGS	03070500	2019-06-30 21:30	EDT	860	A
USGS	03070500	2019-06-30 21:45	EDT	854	A
USGS	03070500	2019-06-30 22:00	EDT	849	A
USGS	03070500	2019-06-30 22:15	EDT	871	A
USGS	03070500	2019-06-30 22:30	EDT	822	A
USGS	03070500	2019-06-30 22:45	EDT	795	A
USGS	03070500	2019-06-30 23:00	EDT	822	A
USGS	03070500	2019-06-30 23:15	EDT	827	A
USGS	03070500	2019-06-30 23:30	EDT	806	A
USGS	03070500	2019-06-30 23:45	EDT	790	A
USGS	03070500	2019-07-01 00:00	EDT	800	A
USGS	03070500	2019-07-01 00:15	EDT	779	A
USGS	03070500	2019-07-01 00:30	EDT	769	A
USGS	03070500	2019-07-01 00:45	EDT	759	A
USGS	03070500	2019-07-01 01:00	EDT	774	A
USGS	03070500	2019-07-01 01:15	EDT	744	A
USGS	03070500	2019-07-01 01:30	EDT	719	A
USGS	03070500	2019-07-01 01:45	EDT	719	A
USGS	03070500	2019-07-01 02:00	EDT	699	A
USGS	03070500	2019-07-01 02:15	EDT	694	A
USGS	03070500	2019-07-01 02:30	EDT	699	A
USGS	03070500	2019-07-01 02:45	EDT	678	A
USGS	03070500	2019-07-01 03:00	EDT	690	A
USGS	03070500	2019-07-01 03:15	EDT	672	A
USGS	03070500	2019-07-01 03:30	EDT	690	A
USGS	03070500	2019-07-01 03:45	EDT	655	A
USGS	03070500	2019-07-01 04:00	EDT	666	A
USGS	03070500	2019-07-01 04:15	EDT	672	A
USGS	03070500	2019-07-01 04:30	EDT	678	A
USGS	03070500	2019-07-01 04:45	EDT	655	A
USGS	03070500	2019-07-01 05:00	EDT	643	A
USGS	03070500	2019-07-01 05:15	EDT	627	A
USGS	03070500	2019-07-01 05:30	EDT	643	A
USGS	03070500	2019-07-01 05:45	EDT	616	A
USGS	03070500	2019-07-01 06:00	EDT	627	A
USGS	03070500	2019-07-01 06:15	EDT	616	A
USGS	03070500	2019-07-01 06:30	EDT	600	A
USGS	03070500	2019-07-01 06:45	EDT	605	A
USGS	03070500	2019-07-01 07:00	EDT	600	A
USGS	03070500	2019-07-01 07:15	EDT	600	A
USGS	03070500	2019-07-01 07:30	EDT	579	A
USGS	03070500	2019-07-01 07:45	EDT	579	A
USGS	03070500	2019-07-01 08:00	EDT	574	A
USGS	03070500	2019-07-01 08:15	EDT	568	A
USGS	03070500	2019-07-01 08:30	EDT	548	A
USGS	03070500	2019-07-01 08:45	EDT	543	A
USGS	03070500	2019-07-01 09:00	EDT	553	A
USGS	03070500	2019-07-01 09:15	EDT	538	A
USGS	03070500	2019-07-01 09:30	EDT	553	A
USGS	03070500	2019-07-01 09:45	EDT	538	A
USGS	03070500	2019-07-01 10:00	EDT	529	A
USGS	03070500	2019-07-01 10:15	EDT	529	A
USGS	03070500	2019-07-01 10:30	EDT	519	A
USGS	03070500	2019-07-01 10:45	EDT	534	A
USGS	03070500	2019-07-01 11:00	EDT	519	A
USGS	03070500	2019-07-01 11:15	EDT	505	A
USGS	03070500	2019-07-01 11:30	EDT	519	A
USGS	03070500	2019-07-01 11:45	EDT	514	A
USGS	03070500	2019-07-01 12:00	EDT	524	A
USGS	03070500	2019-07-01 12:15	EDT	510	A
USGS	03070500	2019-07-01 12:30	EDT	514	A
USGS	03070500	2019-07-01 12:45	EDT	496	A
USGS	03070500	2019-07-01 13:00	EDT	496	A
USGS	03070500	2019-07-01 13:15	EDT	496	A
USGS	03070500	2019-07-01 13:30	EDT	487	A
USGS	03070500	2019-07-01 13:45	EDT	505	A
USGS	03070500	2019-07-01 14:00	EDT	478	A
USGS	03070500	2019-07-01 14:15	EDT	491	A
USGS	03070500	2019-07-01 14:30	EDT	469	A
USGS	03070500	2019-07-01 14:45	EDT	482	A
USGS	03070500	2019-07-01 15:00	EDT	464	A
USGS	03070500	2019-07-01 15:15	EDT	469	A
USGS	03070500	2019-07-01 15:30	EDT	473	A
USGS	03070500	2019-07-01 15:45	EDT	469	A
USGS	03070500	2019-07-01 16:00	EDT	460	A
USGS	03070500	2019-07-01 16:15	EDT	464	A
USGS	03070500	2019-07-01 16:30	EDT	456	A
USGS	03070500	2019-07-01 16:45	EDT	447	A
USGS	03070500	2019-07-01 17:00	EDT	451	A
USGS	03070500	2019-07-01 17:15	EDT	451	A
USGS	03070500	2019-07-01 17:30	EDT	456	A
USGS	03070500	2019-07-01 17:45	EDT	443	A
USGS	03070500	2019-07-01 18:00	EDT	439	A
USGS	03070500	2019-07-01 18:15	EDT	435	A
USGS	03070500	2019-07-01 18:30	EDT	426	A
USGS	03070500	2019-07-01 18:45	EDT	426	A
USGS	03070500	2019-07-01 19:00	EDT	430	A
USGS	03070500	2019-07-01 19:15	EDT	418	A
USGS	03070500	2019-07-01 19:30	EDT	414	A
USGS	03070500	2019-07-01 19:45	EDT	414	A
USGS	03070500	2019-07-01 20:00	EDT	418	A
USGS	03070500	2019-07-01 20:15	EDT	410	A
USGS	03070500	2019-07-01 20:30	EDT	406	A
USGS	03070500	2019-07-01 20:45	EDT	406	A
USGS	03070500	2019-07-01 21:00	EDT	410	A
USGS	03070500	2019-07-01 21:15	EDT	402	A
USGS	03070500	2019-07-01 21:30	EDT	398	A
USGS	03070500	2019-07-01 21:45	EDT	394	A
USGS	03070500	2019-07-01 22:00	EDT	398	A
USGS	03070500	2019-07-01 22:15	EDT	394	A
USGS	03070500	2019-07-01 22:30	EDT	394	A
USGS	03070500	2019-07-01 22:45	EDT	387	A
USGS	03070500	2019-07-01 23:00	EDT	394	A
USGS	03070500	2019-07-01 23:15	EDT	394	A
