# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-01 09:19:49 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03066000 BLACKWATER RIVER AT DAVIS, WV
# -----------------------------------------------------------------------------------
#
# Data provided for site 03066000
#            TS   parameter     Description
#        160506       00060     Discharge, cubic feet per second
#        160511       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	160506_00060	160506_00060_cd
USGS	03066000	2019-06-27 08:00	EDT	244	A
USGS	03066000	2019-06-27 08:15	EDT	242	A
USGS	03066000	2019-06-27 08:30	EDT	239	A
USGS	03066000	2019-06-27 08:45	EDT	237	A
USGS	03066000	2019-06-27 09:00	EDT	235	A
USGS	03066000	2019-06-27 09:15	EDT	232	A
USGS	03066000	2019-06-27 09:30	EDT	232	A
USGS	03066000	2019-06-27 09:45	EDT	230	A
USGS	03066000	2019-06-27 10:00	EDT	228	A
USGS	03066000	2019-06-27 10:15	EDT	228	A
USGS	03066000	2019-06-27 10:30	EDT	226	A
USGS	03066000	2019-06-27 10:45	EDT	223	A
USGS	03066000	2019-06-27 11:00	EDT	223	A
USGS	03066000	2019-06-27 11:15	EDT	221	A
USGS	03066000	2019-06-27 11:30	EDT	219	A
USGS	03066000	2019-06-27 11:45	EDT	219	A
USGS	03066000	2019-06-27 12:00	EDT	217	A
USGS	03066000	2019-06-27 12:15	EDT	214	A
USGS	03066000	2019-06-27 12:30	EDT	214	A
USGS	03066000	2019-06-27 12:45	EDT	212	A
USGS	03066000	2019-06-27 13:00	EDT	212	A
USGS	03066000	2019-06-27 13:15	EDT	210	A
USGS	03066000	2019-06-27 13:30	EDT	208	A
USGS	03066000	2019-06-27 13:45	EDT	208	A
USGS	03066000	2019-06-27 14:00	EDT	206	A
USGS	03066000	2019-06-27 14:15	EDT	206	A
USGS	03066000	2019-06-27 14:30	EDT	203	A
USGS	03066000	2019-06-27 14:45	EDT	201	A
USGS	03066000	2019-06-27 15:00	EDT	201	A
USGS	03066000	2019-06-27 15:15	EDT	201	A
USGS	03066000	2019-06-27 15:30	EDT	199	A
USGS	03066000	2019-06-27 15:45	EDT	197	A
USGS	03066000	2019-06-27 16:00	EDT	197	A
USGS	03066000	2019-06-27 16:15	EDT	197	A
USGS	03066000	2019-06-27 16:30	EDT	195	A
USGS	03066000	2019-06-27 16:45	EDT	193	A
USGS	03066000	2019-06-27 17:00	EDT	193	A
USGS	03066000	2019-06-27 17:15	EDT	193	A
USGS	03066000	2019-06-27 17:30	EDT	190	A
USGS	03066000	2019-06-27 17:45	EDT	188	A
USGS	03066000	2019-06-27 18:00	EDT	188	A
USGS	03066000	2019-06-27 18:15	EDT	188	A
USGS	03066000	2019-06-27 18:30	EDT	186	A
USGS	03066000	2019-06-27 18:45	EDT	186	A
USGS	03066000	2019-06-27 19:00	EDT	184	A
USGS	03066000	2019-06-27 19:15	EDT	184	A
USGS	03066000	2019-06-27 19:30	EDT	184	A
USGS	03066000	2019-06-27 19:45	EDT	182	A
USGS	03066000	2019-06-27 20:00	EDT	182	A
USGS	03066000	2019-06-27 20:15	EDT	180	A
USGS	03066000	2019-06-27 20:30	EDT	180	A
USGS	03066000	2019-06-27 20:45	EDT	180	A
USGS	03066000	2019-06-27 21:00	EDT	178	A
USGS	03066000	2019-06-27 21:15	EDT	178	A
USGS	03066000	2019-06-27 21:30	EDT	176	A
USGS	03066000	2019-06-27 21:45	EDT	176	A
USGS	03066000	2019-06-27 22:00	EDT	176	A
USGS	03066000	2019-06-27 22:15	EDT	173	A
USGS	03066000	2019-06-27 22:30	EDT	173	A
USGS	03066000	2019-06-27 22:45	EDT	171	A
USGS	03066000	2019-06-27 23:00	EDT	171	A
USGS	03066000	2019-06-27 23:15	EDT	171	A
USGS	03066000	2019-06-27 23:30	EDT	171	A
USGS	03066000	2019-06-27 23:45	EDT	169	A
USGS	03066000	2019-06-28 00:00	EDT	169	A
USGS	03066000	2019-06-28 00:15	EDT	167	A
USGS	03066000	2019-06-28 00:30	EDT	167	A
USGS	03066000	2019-06-28 00:45	EDT	167	A
USGS	03066000	2019-06-28 01:00	EDT	167	A
USGS	03066000	2019-06-28 01:15	EDT	165	A
USGS	03066000	2019-06-28 01:30	EDT	165	A
USGS	03066000	2019-06-28 01:45	EDT	165	A
USGS	03066000	2019-06-28 02:00	EDT	163	A
USGS	03066000	2019-06-28 02:15	EDT	163	A
USGS	03066000	2019-06-28 02:30	EDT	163	A
USGS	03066000	2019-06-28 02:45	EDT	163	A
USGS	03066000	2019-06-28 03:00	EDT	160	A
USGS	03066000	2019-06-28 03:15	EDT	160	A
USGS	03066000	2019-06-28 03:30	EDT	158	A
USGS	03066000	2019-06-28 03:45	EDT	158	A
USGS	03066000	2019-06-28 04:00	EDT	158	A
USGS	03066000	2019-06-28 04:15	EDT	158	A
USGS	03066000	2019-06-28 04:30	EDT	156	A
USGS	03066000	2019-06-28 04:45	EDT	156	A
USGS	03066000	2019-06-28 05:00	EDT	154	A
USGS	03066000	2019-06-28 05:15	EDT	154	A
USGS	03066000	2019-06-28 05:30	EDT	154	A
USGS	03066000	2019-06-28 05:45	EDT	154	A
USGS	03066000	2019-06-28 06:00	EDT	152	A
USGS	03066000	2019-06-28 06:15	EDT	152	A
USGS	03066000	2019-06-28 06:30	EDT	150	A
USGS	03066000	2019-06-28 06:45	EDT	150	A
USGS	03066000	2019-06-28 07:00	EDT	150	A
USGS	03066000	2019-06-28 07:15	EDT	150	A
USGS	03066000	2019-06-28 07:30	EDT	148	A
USGS	03066000	2019-06-28 07:45	EDT	148	A
USGS	03066000	2019-06-28 08:00	EDT	148	A
USGS	03066000	2019-06-28 08:15	EDT	148	A
USGS	03066000	2019-06-28 08:30	EDT	146	A
USGS	03066000	2019-06-28 08:45	EDT	146	A
USGS	03066000	2019-06-28 09:00	EDT	146	A
USGS	03066000	2019-06-28 09:15	EDT	146	A
USGS	03066000	2019-06-28 09:30	EDT	146	A
USGS	03066000	2019-06-28 09:45	EDT	144	A
USGS	03066000	2019-06-28 10:00	EDT	144	A
USGS	03066000	2019-06-28 10:15	EDT	144	A
USGS	03066000	2019-06-28 10:30	EDT	142	A
USGS	03066000	2019-06-28 10:45	EDT	142	A
USGS	03066000	2019-06-28 11:00	EDT	142	A
USGS	03066000	2019-06-28 11:15	EDT	142	A
USGS	03066000	2019-06-28 11:30	EDT	142	A
USGS	03066000	2019-06-28 11:45	EDT	142	A
USGS	03066000	2019-06-28 12:00	EDT	142	A
USGS	03066000	2019-06-28 12:15	EDT	140	A
USGS	03066000	2019-06-28 12:30	EDT	140	A
USGS	03066000	2019-06-28 12:45	EDT	140	A
USGS	03066000	2019-06-28 13:00	EDT	140	A
USGS	03066000	2019-06-28 13:15	EDT	140	A
USGS	03066000	2019-06-28 13:30	EDT	140	A
USGS	03066000	2019-06-28 13:45	EDT	140	A
USGS	03066000	2019-06-28 14:00	EDT	138	A
USGS	03066000	2019-06-28 14:15	EDT	138	A
USGS	03066000	2019-06-28 14:30	EDT	138	A
USGS	03066000	2019-06-28 14:45	EDT	138	A
USGS	03066000	2019-06-28 15:00	EDT	138	A
USGS	03066000	2019-06-28 15:15	EDT	138	A
USGS	03066000	2019-06-28 15:30	EDT	136	A
USGS	03066000	2019-06-28 15:45	EDT	136	A
USGS	03066000	2019-06-28 16:00	EDT	134	A
USGS	03066000	2019-06-28 16:15	EDT	134	A
USGS	03066000	2019-06-28 16:30	EDT	134	A
USGS	03066000	2019-06-28 16:45	EDT	134	A
USGS	03066000	2019-06-28 17:00	EDT	134	A
USGS	03066000	2019-06-28 17:15	EDT	134	A
USGS	03066000	2019-06-28 17:30	EDT	134	A
USGS	03066000	2019-06-28 17:45	EDT	134	A
USGS	03066000	2019-06-28 18:00	EDT	134	A
USGS	03066000	2019-06-28 18:15	EDT	134	A
USGS	03066000	2019-06-28 18:30	EDT	132	A
USGS	03066000	2019-06-28 18:45	EDT	132	A
USGS	03066000	2019-06-28 19:00	EDT	132	A
USGS	03066000	2019-06-28 19:15	EDT	132	A
USGS	03066000	2019-06-28 19:30	EDT	132	A
USGS	03066000	2019-06-28 19:45	EDT	130	A
USGS	03066000	2019-06-28 20:00	EDT	130	A
USGS	03066000	2019-06-28 20:15	EDT	130	A
USGS	03066000	2019-06-28 20:30	EDT	130	A
USGS	03066000	2019-06-28 20:45	EDT	130	A
USGS	03066000	2019-06-28 21:00	EDT	130	A
USGS	03066000	2019-06-28 21:15	EDT	130	A
USGS	03066000	2019-06-28 21:30	EDT	130	A
USGS	03066000	2019-06-28 21:45	EDT	130	A
USGS	03066000	2019-06-28 22:00	EDT	128	A
USGS	03066000	2019-06-28 22:15	EDT	128	A
USGS	03066000	2019-06-28 22:30	EDT	128	A
USGS	03066000	2019-06-28 22:45	EDT	128	A
USGS	03066000	2019-06-28 23:00	EDT	128	A
USGS	03066000	2019-06-28 23:15	EDT	126	A
USGS	03066000	2019-06-28 23:30	EDT	126	A
USGS	03066000	2019-06-28 23:45	EDT	126	A
USGS	03066000	2019-06-29 00:00	EDT	126	A
USGS	03066000	2019-06-29 00:15	EDT	126	A
USGS	03066000	2019-06-29 00:30	EDT	126	A
USGS	03066000	2019-06-29 00:45	EDT	126	A
USGS	03066000	2019-06-29 01:00	EDT	126	A
USGS	03066000	2019-06-29 01:15	EDT	126	A
USGS	03066000	2019-06-29 01:30	EDT	126	A
USGS	03066000	2019-06-29 01:45	EDT	126	A
USGS	03066000	2019-06-29 02:00	EDT	126	A
USGS	03066000	2019-06-29 02:15	EDT	124	A
USGS	03066000	2019-06-29 02:30	EDT	124	A
USGS	03066000	2019-06-29 02:45	EDT	124	A
USGS	03066000	2019-06-29 03:00	EDT	124	A
USGS	03066000	2019-06-29 03:15	EDT	122	A
USGS	03066000	2019-06-29 03:30	EDT	122	A
USGS	03066000	2019-06-29 03:45	EDT	122	A
USGS	03066000	2019-06-29 04:00	EDT	122	A
USGS	03066000	2019-06-29 04:15	EDT	122	A
USGS	03066000	2019-06-29 04:30	EDT	122	A
USGS	03066000	2019-06-29 04:45	EDT	122	A
USGS	03066000	2019-06-29 05:00	EDT	122	A
USGS	03066000	2019-06-29 05:15	EDT	122	A
USGS	03066000	2019-06-29 05:30	EDT	120	A
USGS	03066000	2019-06-29 05:45	EDT	120	A
USGS	03066000	2019-06-29 06:00	EDT	120	A
USGS	03066000	2019-06-29 06:15	EDT	120	A
USGS	03066000	2019-06-29 06:30	EDT	120	A
USGS	03066000	2019-06-29 06:45	EDT	118	A
USGS	03066000	2019-06-29 07:00	EDT	118	A
USGS	03066000	2019-06-29 07:15	EDT	118	A
USGS	03066000	2019-06-29 07:30	EDT	118	A
USGS	03066000	2019-06-29 07:45	EDT	118	A
USGS	03066000	2019-06-29 08:00	EDT	118	A
USGS	03066000	2019-06-29 08:15	EDT	118	A
USGS	03066000	2019-06-29 08:30	EDT	117	A
USGS	03066000	2019-06-29 08:45	EDT	117	A
USGS	03066000	2019-06-29 09:00	EDT	117	A
USGS	03066000	2019-06-29 09:15	EDT	117	A
USGS	03066000	2019-06-29 09:30	EDT	115	A
USGS	03066000	2019-06-29 09:45	EDT	115	A
USGS	03066000	2019-06-29 10:00	EDT	115	A
USGS	03066000	2019-06-29 10:15	EDT	115	A
USGS	03066000	2019-06-29 10:30	EDT	115	A
USGS	03066000	2019-06-29 10:45	EDT	115	A
USGS	03066000	2019-06-29 11:00	EDT	115	A
USGS	03066000	2019-06-29 11:15	EDT	115	A
USGS	03066000	2019-06-29 11:30	EDT	115	A
USGS	03066000	2019-06-29 11:45	EDT	113	A
USGS	03066000	2019-06-29 12:00	EDT	113	A
USGS	03066000	2019-06-29 12:15	EDT	113	A
USGS	03066000	2019-06-29 12:30	EDT	113	A
USGS	03066000	2019-06-29 12:45	EDT	113	A
USGS	03066000	2019-06-29 13:00	EDT	113	A
USGS	03066000	2019-06-29 13:15	EDT	113	A
USGS	03066000	2019-06-29 13:30	EDT	113	A
USGS	03066000	2019-06-29 13:45	EDT	111	A
USGS	03066000	2019-06-29 14:00	EDT	111	A
USGS	03066000	2019-06-29 14:15	EDT	111	A
USGS	03066000	2019-06-29 14:30	EDT	111	A
USGS	03066000	2019-06-29 14:45	EDT	111	A
USGS	03066000	2019-06-29 15:00	EDT	111	A
USGS	03066000	2019-06-29 15:15	EDT	111	A
USGS	03066000	2019-06-29 15:30	EDT	111	A
USGS	03066000	2019-06-29 15:45	EDT	111	A
USGS	03066000	2019-06-29 16:00	EDT	111	A
USGS	03066000	2019-06-29 16:15	EDT	111	A
USGS	03066000	2019-06-29 16:30	EDT	109	A
USGS	03066000	2019-06-29 16:45	EDT	111	A
USGS	03066000	2019-06-29 17:00	EDT	111	A
USGS	03066000	2019-06-29 17:15	EDT	111	A
USGS	03066000	2019-06-29 17:30	EDT	111	A
USGS	03066000	2019-06-29 17:45	EDT	111	A
USGS	03066000	2019-06-29 18:00	EDT	111	A
USGS	03066000	2019-06-29 18:15	EDT	111	A
USGS	03066000	2019-06-29 18:30	EDT	111	A
USGS	03066000	2019-06-29 18:45	EDT	109	A
USGS	03066000	2019-06-29 19:00	EDT	109	A
USGS	03066000	2019-06-29 19:15	EDT	109	A
USGS	03066000	2019-06-29 19:30	EDT	109	A
USGS	03066000	2019-06-29 19:45	EDT	109	A
USGS	03066000	2019-06-29 20:00	EDT	109	A
USGS	03066000	2019-06-29 20:15	EDT	109	A
USGS	03066000	2019-06-29 20:30	EDT	109	A
USGS	03066000	2019-06-29 20:45	EDT	109	A
USGS	03066000	2019-06-29 21:00	EDT	109	A
USGS	03066000	2019-06-29 21:15	EDT	107	A
USGS	03066000	2019-06-29 21:30	EDT	107	A
USGS	03066000	2019-06-29 21:45	EDT	107	A
USGS	03066000	2019-06-29 22:00	EDT	107	A
USGS	03066000	2019-06-29 22:15	EDT	107	A
USGS	03066000	2019-06-29 22:30	EDT	107	A
USGS	03066000	2019-06-29 22:45	EDT	107	A
USGS	03066000	2019-06-29 23:00	EDT	107	A
USGS	03066000	2019-06-29 23:15	EDT	107	A
USGS	03066000	2019-06-29 23:30	EDT	107	A
USGS	03066000	2019-06-29 23:45	EDT	107	A
USGS	03066000	2019-06-30 00:00	EDT	107	A
USGS	03066000	2019-06-30 00:15	EDT	106	A
USGS	03066000	2019-06-30 00:30	EDT	106	A
USGS	03066000	2019-06-30 00:45	EDT	106	A
USGS	03066000	2019-06-30 01:00	EDT	106	A
USGS	03066000	2019-06-30 01:15	EDT	106	A
USGS	03066000	2019-06-30 01:30	EDT	111	A
USGS	03066000	2019-06-30 01:45	EDT	144	A
USGS	03066000	2019-06-30 02:00	EDT	223	A
USGS	03066000	2019-06-30 02:15	EDT	315	A
USGS	03066000	2019-06-30 02:30	EDT	395	A
USGS	03066000	2019-06-30 02:45	EDT	553	A
USGS	03066000	2019-06-30 03:00	EDT	901	A
USGS	03066000	2019-06-30 03:15	EDT	1340	A
USGS	03066000	2019-06-30 03:30	EDT	1880	A
USGS	03066000	2019-06-30 03:45	EDT	2450	A
USGS	03066000	2019-06-30 04:00	EDT	3030	A
USGS	03066000	2019-06-30 04:15	EDT	3800	A
USGS	03066000	2019-06-30 04:30	EDT	4080	A
USGS	03066000	2019-06-30 04:45	EDT	4230	A
USGS	03066000	2019-06-30 05:00	EDT	4290	A
USGS	03066000	2019-06-30 05:15	EDT	4310	A
USGS	03066000	2019-06-30 05:30	EDT	4210	A
USGS	03066000	2019-06-30 05:45	EDT	4110	A
USGS	03066000	2019-06-30 06:00	EDT	3980	A
USGS	03066000	2019-06-30 06:15	EDT	3830	A
USGS	03066000	2019-06-30 06:30	EDT	3700	A
USGS	03066000	2019-06-30 06:45	EDT	3570	A
USGS	03066000	2019-06-30 07:00	EDT	3490	A
USGS	03066000	2019-06-30 07:15	EDT	3420	A
USGS	03066000	2019-06-30 07:30	EDT	3360	A
USGS	03066000	2019-06-30 07:45	EDT	3310	A
USGS	03066000	2019-06-30 08:00	EDT	3300	A
USGS	03066000	2019-06-30 08:15	EDT	3310	A
USGS	03066000	2019-06-30 08:30	EDT	3330	A
USGS	03066000	2019-06-30 08:45	EDT	3380	A
USGS	03066000	2019-06-30 09:00	EDT	3430	A
USGS	03066000	2019-06-30 09:15	EDT	3500	A
USGS	03066000	2019-06-30 09:30	EDT	3570	A
USGS	03066000	2019-06-30 09:45	EDT	3630	A
USGS	03066000	2019-06-30 10:00	EDT	3710	A
USGS	03066000	2019-06-30 10:15	EDT	3800	A
USGS	03066000	2019-06-30 10:30	EDT	3890	A
USGS	03066000	2019-06-30 10:45	EDT	3950	A
USGS	03066000	2019-06-30 11:00	EDT	4030	A
USGS	03066000	2019-06-30 11:15	EDT	4110	A
USGS	03066000	2019-06-30 11:30	EDT	4190	A
USGS	03066000	2019-06-30 11:45	EDT	4260	A
USGS	03066000	2019-06-30 12:00	EDT	4310	A
USGS	03066000	2019-06-30 12:15	EDT	4410	A
USGS	03066000	2019-06-30 12:30	EDT	4470	A
USGS	03066000	2019-06-30 12:45	EDT	4500	A
USGS	03066000	2019-06-30 13:00	EDT	4570	A
USGS	03066000	2019-06-30 13:15	EDT	4600	A
USGS	03066000	2019-06-30 13:30	EDT	4640	A
USGS	03066000	2019-06-30 13:45	EDT	4680	A
USGS	03066000	2019-06-30 14:00	EDT	4700	A
USGS	03066000	2019-06-30 14:15	EDT	4710	A
USGS	03066000	2019-06-30 14:30	EDT	4730	A
USGS	03066000	2019-06-30 14:45	EDT	4730	A
USGS	03066000	2019-06-30 15:00	EDT	4740	A
USGS	03066000	2019-06-30 15:15	EDT	4700	A
USGS	03066000	2019-06-30 15:30	EDT	4710	A
USGS	03066000	2019-06-30 15:45	EDT	4700	A
USGS	03066000	2019-06-30 16:00	EDT	4660	A
USGS	03066000	2019-06-30 16:15	EDT	4670	A
USGS	03066000	2019-06-30 16:30	EDT	4620	A
USGS	03066000	2019-06-30 16:45	EDT	4600	A
USGS	03066000	2019-06-30 17:00	EDT	4560	A
USGS	03066000	2019-06-30 17:15	EDT	4530	A
USGS	03066000	2019-06-30 17:30	EDT	4470	A
USGS	03066000	2019-06-30 17:45	EDT	4440	A
USGS	03066000	2019-06-30 18:00	EDT	4410	A
USGS	03066000	2019-06-30 18:15	EDT	4340	A
USGS	03066000	2019-06-30 18:30	EDT	4300	A
USGS	03066000	2019-06-30 18:45	EDT	4280	A
USGS	03066000	2019-06-30 19:00	EDT	4220	A
USGS	03066000	2019-06-30 19:15	EDT	4180	A
USGS	03066000	2019-06-30 19:30	EDT	4140	A
USGS	03066000	2019-06-30 19:45	EDT	4090	A
USGS	03066000	2019-06-30 20:00	EDT	4040	A
USGS	03066000	2019-06-30 20:15	EDT	3990	A
USGS	03066000	2019-06-30 20:30	EDT	3930	A
USGS	03066000	2019-06-30 20:45	EDT	3890	A
USGS	03066000	2019-06-30 21:00	EDT	3840	A
USGS	03066000	2019-06-30 21:15	EDT	3780	A
USGS	03066000	2019-06-30 21:30	EDT	3730	A
USGS	03066000	2019-06-30 21:45	EDT	3690	A
USGS	03066000	2019-06-30 22:00	EDT	3620	A
USGS	03066000	2019-06-30 22:15	EDT	3590	A
USGS	03066000	2019-06-30 22:30	EDT	3530	A
USGS	03066000	2019-06-30 22:45	EDT	3490	A
USGS	03066000	2019-06-30 23:00	EDT	3460	A
USGS	03066000	2019-06-30 23:15	EDT	3410	A
USGS	03066000	2019-06-30 23:30	EDT	3360	A
USGS	03066000	2019-06-30 23:45	EDT	3310	A
USGS	03066000	2019-07-01 00:00	EDT	3260	A
USGS	03066000	2019-07-01 00:15	EDT	3210	A
USGS	03066000	2019-07-01 00:30	EDT	3150	A
USGS	03066000	2019-07-01 00:45	EDT	3110	A
USGS	03066000	2019-07-01 01:00	EDT	3060	A
USGS	03066000	2019-07-01 01:15	EDT	3020	A
USGS	03066000	2019-07-01 01:30	EDT	2970	A
USGS	03066000	2019-07-01 01:45	EDT	2930	A
USGS	03066000	2019-07-01 02:00	EDT	2880	A
USGS	03066000	2019-07-01 02:15	EDT	2840	A
USGS	03066000	2019-07-01 02:30	EDT	2790	A
USGS	03066000	2019-07-01 02:45	EDT	2750	A
USGS	03066000	2019-07-01 03:00	EDT	2720	A
USGS	03066000	2019-07-01 03:15	EDT	2670	A
USGS	03066000	2019-07-01 03:30	EDT	2620	A
USGS	03066000	2019-07-01 03:45	EDT	2580	A
USGS	03066000	2019-07-01 04:00	EDT	2530	A
USGS	03066000	2019-07-01 04:15	EDT	2490	A
USGS	03066000	2019-07-01 04:30	EDT	2440	A
USGS	03066000	2019-07-01 04:45	EDT	2400	A
USGS	03066000	2019-07-01 05:00	EDT	2360	A
USGS	03066000	2019-07-01 05:15	EDT	2310	A
USGS	03066000	2019-07-01 05:30	EDT	2260	A
USGS	03066000	2019-07-01 05:45	EDT	2230	A
USGS	03066000	2019-07-01 06:00	EDT	2190	A
USGS	03066000	2019-07-01 06:15	EDT	2150	A
USGS	03066000	2019-07-01 06:30	EDT	2120	A
USGS	03066000	2019-07-01 06:45	EDT	2090	A
USGS	03066000	2019-07-01 07:00	EDT	2070	A
USGS	03066000	2019-07-01 07:15	EDT	2040	A
USGS	03066000	2019-07-01 07:30	EDT	2020	A
USGS	03066000	2019-07-01 07:45	EDT	2000	A
USGS	03066000	2019-07-01 08:00	EDT	1980	A
USGS	03066000	2019-07-01 08:15	EDT	1960	A
USGS	03066000	2019-07-01 08:30	EDT	1940	A
USGS	03066000	2019-07-01 08:45	EDT	1930	A
USGS	03066000	2019-07-01 09:00	EDT	1910	A
USGS	03066000	2019-07-01 09:15	EDT	1900	A
USGS	03066000	2019-07-01 09:30	EDT	1880	A
USGS	03066000	2019-07-01 09:45	EDT	1870	A
USGS	03066000	2019-07-01 10:00	EDT	1850	A
USGS	03066000	2019-07-01 10:15	EDT	1840	A
USGS	03066000	2019-07-01 10:30	EDT	1820	A
USGS	03066000	2019-07-01 10:45	EDT	1810	A
USGS	03066000	2019-07-01 11:00	EDT	1790	A
USGS	03066000	2019-07-01 11:15	EDT	1780	A
USGS	03066000	2019-07-01 11:30	EDT	1760	A
USGS	03066000	2019-07-01 11:45	EDT	1750	A
USGS	03066000	2019-07-01 12:00	EDT	1730	A
USGS	03066000	2019-07-01 12:15	EDT	1720	A
USGS	03066000	2019-07-01 12:30	EDT	1710	A
USGS	03066000	2019-07-01 12:45	EDT	1690	A
USGS	03066000	2019-07-01 13:00	EDT	1680	A
USGS	03066000	2019-07-01 13:15	EDT	1660	A
USGS	03066000	2019-07-01 13:30	EDT	1650	A
USGS	03066000	2019-07-01 13:45	EDT	1630	A
USGS	03066000	2019-07-01 14:00	EDT	1620	A
USGS	03066000	2019-07-01 14:15	EDT	1610	A
USGS	03066000	2019-07-01 14:30	EDT	1600	A
USGS	03066000	2019-07-01 14:45	EDT	1580	A
USGS	03066000	2019-07-01 15:00	EDT	1570	A
USGS	03066000	2019-07-01 15:15	EDT	1550	A
USGS	03066000	2019-07-01 15:30	EDT	1540	A
USGS	03066000	2019-07-01 15:45	EDT	1530	A
USGS	03066000	2019-07-01 16:00	EDT	1520	A
USGS	03066000	2019-07-01 16:15	EDT	1500	A
USGS	03066000	2019-07-01 16:30	EDT	1490	A
USGS	03066000	2019-07-01 16:45	EDT	1470	A
USGS	03066000	2019-07-01 17:00	EDT	1460	A
USGS	03066000	2019-07-01 17:15	EDT	1440	A
USGS	03066000	2019-07-01 17:30	EDT	1430	A
USGS	03066000	2019-07-01 17:45	EDT	1420	A
USGS	03066000	2019-07-01 18:00	EDT	1400	A
USGS	03066000	2019-07-01 18:15	EDT	1390	A
USGS	03066000	2019-07-01 18:30	EDT	1370	A
USGS	03066000	2019-07-01 18:45	EDT	1370	A
USGS	03066000	2019-07-01 19:00	EDT	1350	A
USGS	03066000	2019-07-01 19:15	EDT	1340	A
USGS	03066000	2019-07-01 19:30	EDT	1320	A
USGS	03066000	2019-07-01 19:45	EDT	1310	A
USGS	03066000	2019-07-01 20:00	EDT	1300	A
USGS	03066000	2019-07-01 20:15	EDT	1290	A
USGS	03066000	2019-07-01 20:30	EDT	1270	A
USGS	03066000	2019-07-01 20:45	EDT	1250	A
USGS	03066000	2019-07-01 21:00	EDT	1240	A
USGS	03066000	2019-07-01 21:15	EDT	1230	A
USGS	03066000	2019-07-01 21:30	EDT	1220	A
USGS	03066000	2019-07-01 21:45	EDT	1210	A
USGS	03066000	2019-07-01 22:00	EDT	1190	A
